Per-file py_compile report
Generated: 2026-04-08T12:09:32
Total files: 89

C:\Users\win11\Shizuku_Nya_Bot-master\apply_grid.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\apply_html_wrap.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\apply_html_wrap2.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\apply_html_wrap3.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\apply_html.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\beautify.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\beautify2.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\beautify3.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\bust_cache.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\check_original.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\chk_hist.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\chk_hist2.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\chk_hist3.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\chk_log.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\debug_concurrency.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\diagnose.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\do_cache.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\do_refactor.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\find_best_css.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\find_best_history.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\find_layouts.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\find_lines.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\fix_api.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\fix_html.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\fix_html2.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\fix_html3.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\fix_layout.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\fix_persona_layout.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\fix_persona_layout2.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\fix.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\init_systems.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\main.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\patch_adapter.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\refactor_persona.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\show.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\split.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\test_builtin_plugins.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\test_encoding.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\test_server.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\test_systems_api.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\tmp_market_probe.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\agent_datas\workspace\script.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\agent_datas\workspace\snake_game.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\data\plungin\default_data_query_plugin\plugin.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\data\plungin\kemono_crawler\plugin.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\__init__.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\adapter_service.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\agent_manager.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\agent_memory.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\agent_sandbox.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\agent_task_scheduler.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\ai_chat_system.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\bat_runner.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\benchmark_evaluator.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\cleanup_chat_history.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\config.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\create_database.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\create_postgresql_database.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\database.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\debug_search_api.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\diagnose.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\enhanced_logging.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\instruction_manager.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\knowledge_base_manager.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\launcher_boot.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\logging_config.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\mcp_manager.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\onebot_reverse_ws_server.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\reply_policy.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\reset_database.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\reset_workmode_password.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\shared_utils.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\systems_api.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\test_ai_search.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\test_image_video_api.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\test_webapi.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\unified_api.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\web_server.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\plugin_framework\__init__.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\plugin_framework\base.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\plugin_framework\builtin_plugins.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\plugin_framework\manager.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\plugin_framework\registry.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\skill_framework\__init__.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\skill_framework\manager.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\static\py\dynamic_loader.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\src\static_backup\py\dynamic_loader.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\tests\benchmarks\test_systems_api_benchmark.py => 0
C:\Users\win11\Shizuku_Nya_Bot-master\Users\win11\Shizuku_Nya_Bot-master\src\config.py => 0

FAILED_FILES=0
